itemID,ctrlNo,itemName,description,qty,unit,brand,model,serialNo,capacity,itemCondition,accountable,IDNumber,acquiredDate,purchasePrice,notes,settingsID,itemCategory,itemSubCategory,processDate,qtyShortage,shortageValue,fundCluster,PARNo,aDepreciation,aLosses,adjustments,aCost,OAC,estUsefulLife,DepreciationRate,office,ICSNo,Supplier,itemType,Qualification
14,WCMWLR00007,Wi-Fi Router,,1,unit,TP-Link,TL-WR940N,,,Good,,2014077,14/01/2024,0,Active,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
15,WCMWLR00008,Wi-Fi Router,,1,unit,Tenda,AC2100,E9721011031001589,,Good,,2014077,15/01/2024,0,Active,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
16,WCMWLR00009,Wi-Fi Router,,1,unit,Tenda,AC2100,E9721011031001003,,Good,,2014077,16/01/2024,0,Active,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
17,WCMMTB00001,Motherboard,,1,unit,Gigabyte,H310M H 2.0,SN191260009173,,Good,,2014077,17/01/2024,0,ACTIVE,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
18,WCMMTB00002,Motherboard,,1,unit,Gigabyte,H310M H 2.0,,,Good,,2014077,18/01/2024,0,ACTIVE,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
19,WCMMTB00003,Motherboard,,1,unit,MSI,H310M Pro-M2 Plus,601-7C08-070B1908003424,,Good,,2014077,19/01/2024,0,File Server,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
20,WCMMTB00004,Motherboard,,1,unit,MSI,H310M Pro-M2 Plus,601-7C08-070B1908003423,,Good,,2014077,20/01/2024,0,Registrar,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
21,WCMMTB00008,Motherboard,,1,unit,Gigabyte,H410M HY,SN203460061851,,Good,,2014077,21/01/2024,0,Registrar Staff (Cora),1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
22,WCMKB00014,Peripherals,,1,unit,,,,,Good,,2014077,22/01/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
23,WCMKB00015,Peripherals,,1,unit,,,,,Good,,2014077,23/01/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
24,WCMKB00016,Tablet,,1,unit,,,,,Good,,2014077,24/01/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
25,WCMKB00017,Peripherals,,1,unit,,,,,Good,,2014077,25/01/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
26,WCMKB00018,Peripherals,,1,unit,,,,,Good,,2014077,26/01/2024,0,"In good condition
",1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
27,WCMKB00019,Peripherals,,1,unit,,,,,Good,,2014077,27/01/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
28,WCMKB00020,Peripherals,,1,unit,,,,,Good,,2014077,28/01/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
29,WCMVGA00014,Cables,,1,unit,,,,,Good,,2014077,29/01/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
30,WCMVGA00015,Cables,,1,unit,,,,,Good,,2014077,30/01/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
31,WCMVGA00016,Cables,,1,unit,,,,,Good,,2014077,31/01/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
32,WCMVGA00017,Cables,,1,unit,,,,,Good,,2014077,01/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
33,WCMVGA00018,Cables,,1,unit,,,,,Good,,2014077,02/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
34,WCMVGA00019,Cables,,1,unit,,,,,Good,,2014077,03/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
35,WCMVGA00020,Cables,,1,unit,,,,,Good,,2014077,04/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
36,WCMVGA00021,Cables,,1,unit,,,,,Good,,2014077,05/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
37,WCMVGA00022,Cables,,1,unit,,,,,Good,,2014077,06/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
38,WCMVGA00023,Cables,,1,unit,,,,,Good,,2014077,07/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
39,WCMVGA00024,Cables,,1,unit,,,,,Good,,2014077,08/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
40,WCMVGA00025,Cables,,1,unit,,,,,Good,,2014077,09/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
41,WCMHDMI00001,Cables,,1,unit,,,,,Good,,2014077,10/02/2024,0,vga-hdmi cable not tested,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
42,WCMVGA00026,Cables,,1,unit,,,,,Good,,2014077,11/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
43,WCMVGA00027,Cables,,1,unit,,,,,Good,,2014077,12/02/2024,0,vga long cable not tested,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
44,WCMVGA00028,Cables,,1,unit,,,,,Good,,2014077,13/02/2024,0,vga long cable not tested,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
45,WCMCBL00024,Cables,,1,unit,,,,,Good,,2014077,14/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
46,WCMCBL00025,Cables,,1,unit,,,,,Good,,2014077,15/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
47,WCMCBL00026,Cables,,1,unit,,,,,Good,,2014077,16/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
48,WCMCBL00027,Cables,,1,unit,,,,,Good,,2014077,17/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
49,WCMCBL00028,Cables,,1,unit,,,,,Good,,2014077,18/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
50,WCMCBL00029,Cables,,1,unit,,,,,Good,,2014077,19/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
51,WCMCBL00030,Cables,,1,unit,,,,,Good,,2014077,20/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
52,WCMCBL00032,Cables,,1,unit,,,,,Good,,2014077,21/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
53,WCMCBL00033,Cables,,1,unit,,,,,Good,,2014077,22/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
54,WCMCBL00034,Cables,,1,unit,,,,,Good,,2014077,23/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
55,WCMCBL00035,Cables,,1,unit,,,,,Good,,2014077,24/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
56,WCMCBL00036,Cables,,1,unit,,,,,Good,,2014077,25/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
57,WCMCBL00037,Cables,,1,unit,,,,,Good,,2014077,26/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
58,WCMCBL00038,Cables,,1,unit,,,,,Good,,2014077,27/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
59,WCMCBL00039,Cables,,1,unit,,,,,Good,,2014077,28/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
60,WCMCBL00040,Cables,,1,unit,,,,,Good,,2014077,29/02/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
61,WCMCBL00041,Cables,,1,unit,,,,,Good,,2014077,01/03/2024,0,"In good condition
",1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
62,WCMCBL00042,Cables,,1,unit,,,,,Good,,2014077,02/03/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
63,WCMCBL00043,Cables,,1,unit,,,,,Good,,2014077,03/03/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
64,WCMCBL00044,Cables,,1,unit,,,,,Good,,2014077,04/03/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
65,WCMCBL00045,Cables,,1,unit,,,,,Good,,2014077,05/03/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
66,WCMCBL00047,Cables,,1,unit,,,,,Good,,2014077,06/03/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
67,WCMCBL00049,Cables,,1,unit,,,,,Good,,2014077,07/03/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
68,WCMCBL00050,Cables,,1,unit,,,,,Good,,2014077,08/03/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
69,WCMCBL00046,Cables,,1,unit,,,,,Good,,2014077,09/03/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
70,WCMCPU001FEMO,System Unit,,1,unit,,,,,Good,,2014077,10/03/2024,0,"Pulled out by Archertech, Inc. for integration - August 11, 2022
        - CPU Firewall",1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
71,WCM-Logic AVR,AVR,,1,unit,,,,,Good,,2014077,11/03/2024,0,Good working condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
72,WCMKB00021,Peripherals,,1,unit,,,,,Good,,2014077,12/03/2024,0,Malfunctioning keys,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
73,WCMKB00022,Peripherals,,1,unit,,,,,Good,,2014077,13/03/2024,0,Malfunctioning keys,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
74,WCMKB00023,Peripherals,,1,unit,,,,,Good,,2014077,14/03/2024,0,Malfunctioning keys,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
75,WCMKB00024,Peripherals,,1,unit,,,,,Good,,2014077,15/03/2024,0,Malfunctioning keys,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
76,WCMKB00025,Peripherals,,1,unit,,,,,Good,,2014077,16/03/2024,0,Malfunctioning keys,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
77,WCMMSE00013,Peripherals,,1,unit,,,,,Good,,2014077,17/03/2024,0,Faulty button,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
78,WCMMSE00014,Peripherals,,1,unit,,,,,Good,,2014077,18/03/2024,0,Faulty button,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
79,WCMMSE00015,Peripherals,,1,unit,,,,,Good,,2014077,19/03/2024,0,Faulty button,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
80,WCMMSE00016,Peripherals,,1,unit,,,,,Good,,2014077,20/03/2024,0,Faulty button,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
81,WCMMSE00017,Peripherals,,1,unit,,,,,Good,,2014077,21/03/2024,0,Faulty button,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
82,WCMMSE00018,Peripherals,,1,unit,,,,,Good,,2014077,22/03/2024,0,Faulty cable,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
83,WCMMSE00019,Peripherals,,1,unit,,,,,Good,,2014077,23/03/2024,0,Faulty cable,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
84,WCMVGA00001,Cables,,1,unit,,,,,Good,,2014077,24/03/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
85,WCMVGA00002,Cables,,1,unit,,,,,Good,,2014077,25/03/2024,0,In good condition.,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
86,WCMVGA00003,Cables,,1,unit,,,,,Good,,2014077,26/03/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
87,WCMVGA00004,Cables,,1,unit,,,,,Good,,2014077,27/03/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
88,WCMVGA00005,Cables,,1,unit,,,,,Good,,2014077,28/03/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
89,WCMVGA00006,Cables,,1,unit,,,,,Good,,2014077,29/03/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
90,WCMVGA00007,Cables,,1,unit,,,,,Good,,2014077,30/03/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
91,WCMCBL00001,Cables,,1,unit,,,,,Good,,2014077,31/03/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
92,WCMCBL00002,Cables,,1,unit,,,,,Good,,2014077,01/04/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
93,WCMCBL00003,Cables,,1,unit,,,,,Good,,2014077,02/04/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
94,WCMCBL00004,Cables,,1,unit,,,,,Good,,2014077,03/04/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
95,WCMCBL00005,Cables,,1,unit,,,,,Good,,2014077,04/04/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
96,WCMCBL00006,Cables,,1,unit,,,,,Good,,2014077,05/04/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
97,WCMCBL00007,Cables,,1,unit,,,,,Good,,2014077,06/04/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
98,WCMCBL00008,Cables,,1,unit,,,,,Good,,2014077,07/04/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
99,WCMCBL00009,Cables,,1,unit,,,,,Good,,2014077,08/04/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
100,WCMUTP00001,Cables,,1,unit,,,,,Good,,2014077,09/04/2024,0,not tested,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
101,WCMUTP00002,Cables,,1,unit,,,,,Good,,2014077,10/04/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
102,WCMUTP00003,Cables,,1,unit,,,,,Good,,2014077,11/04/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
103,WCMUTP00004,Cables,,1,unit,,,,,Good,,2014077,12/04/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
104,WCMUTP00005,Cables,,1,unit,,,,,Good,,2014077,13/04/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
105,WCMUTP00006,Cables,,1,unit,,,,,Good,,2014077,14/04/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
106,WCMUTP00007,Cables,,1,unit,,,,,Good,,2014077,15/04/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
107,WCMUTP00008,Cables,,1,unit,,,,,Good,,2014077,16/04/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
108,WCMCBL00010,Cables,,1,unit,,,,,Good,,2014077,17/04/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
109,WCMCBL00011,Cables,,1,unit,,,,,Good,,2014077,18/04/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
110,WCMKB00001,Peripherals,,1,unit,,,,,Good,,2014077,19/04/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
111,WCMKB00002,Peripherals,,1,unit,,,,,Good,,2014077,20/04/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
112,WCMKB00003,Cables,,1,unit,,,,,Good,,2014077,21/04/2024,0,not tested,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
113,WCMKB00004,Peripherals,,1,unit,,,,,Good,,2014077,22/04/2024,0,not tested,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
114,WCMKB00005,Peripherals,,1,unit,,,,,Good,,2014077,23/04/2024,0,not tested,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
115,WCMKB00006,Peripherals,,1,unit,,,,,Good,,2014077,24/04/2024,0,not tested,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
116,WCMKB00007,Peripherals,,1,unit,,,,,Good,,2014077,25/04/2024,0,not tested,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
117,WCMMSE00001,Peripherals,,1,unit,,,,,Good,,2014077,26/04/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
118,WCMMSE00002,Peripherals,,1,unit,,,,,Good,,2014077,27/04/2024,0,not tested,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
119,WCMMSE00003,Peripherals,,1,unit,,,,,Good,,2014077,28/04/2024,0,not tested,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
120,WCMMSE00004,Peripherals,,1,unit,,,,,Good,,2014077,29/04/2024,0,not tested,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
121,WCMMSE00005,Peripherals,,1,unit,,,,,Good,,2014077,30/04/2024,0,not tested,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
122,WCMMSE00006,Peripherals,,1,unit,,,,,Good,,2014077,01/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
123,WCMVGA00008,Cables,,1,unit,,,,,Good,,2014077,02/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
124,WCMVGA00009,Cables,,1,unit,,,,,Good,,2014077,03/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
125,WCMVGA00010,Cables,,1,unit,,,,,Good,,2014077,04/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
126,WCMVGA00011,Cables,,1,unit,,,,,Good,,2014077,05/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
127,WCMVGA00012,Cables,,1,unit,,,,,Good,,2014077,06/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
128,WCMCBL00012,Cables,,1,unit,,,,,Good,,2014077,07/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
129,WCMCBL00013,Cables,,1,unit,,,,,Good,,2014077,08/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
130,WCMCBL00014,Cables,,1,unit,,,,,Good,,2014077,09/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
131,WCMCBL00015,Cables,,1,unit,,,,,Good,,2014077,10/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
132,WCMCBL00016,Cables,,1,unit,,,,,Good,,2014077,11/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
133,WCMCBL00017,Cables,,1,unit,,,,,Good,,2014077,12/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
134,WCMUTP00009,Cables,,1,unit,,,,,Good,,2014077,13/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
135,WCMUTP00010,Cables,,1,unit,,,,,Good,,2014077,14/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
136,WCMUTP00011,Cables,,1,unit,,,,,Good,,2014077,15/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
137,WCMUTP00012,Cables,,1,unit,,,,,Good,,2014077,16/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
138,WCMKB00008,Peripherals,,1,unit,,,,,Good,,2014077,17/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
139,WCMKB00009,Peripherals,,1,unit,,,,,Good,,2014077,18/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
140,WCMKB00010,Peripherals,,1,unit,,,,,Good,,2014077,19/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
141,WCMKB00011,Peripherals,,1,unit,,,,,Good,,2014077,20/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
142,WCMKB00012,Peripherals,,1,unit,,,,,Good,,2014077,21/05/2024,0,,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
143,WCMMSE00007,Peripherals,,1,unit,,,,,Good,,2014077,22/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
144,WCMMSE00008,Peripherals,,1,unit,,,,,Good,,2014077,23/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
145,WCMMSE00009,Peripherals,,1,unit,,,,,Good,,2014077,24/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
146,WCMMSE00010,Peripherals,,1,unit,,,,,Good,,2014077,25/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
147,WCMMSE00011,Peripherals,,1,unit,,,,,Good,,2014077,26/05/2024,0,,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
148,WCMCBL00018,Cables,,1,unit,,,,,Good,,2014077,27/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
149,WCMCBL00019,Cables,,1,unit,,,,,Good,,2014077,28/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
150,WCMCBL00020,Cables,,1,unit,,,,,Good,,2014077,29/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
151,WCMCBL00021,Cables,,1,unit,,,,,Good,,2014077,30/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
152,TL-WN725N,Peripherals,,1,unit,,,221B1C7009837,,Good,,2014077,31/05/2024,0,In good condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
153,WCMHDMI00003,Cables,,1,unit,,,,,Good,,2014077,01/06/2024,0,excellent working condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
154,WCMHDMI00004,Cables,,1,unit,,,,,Good,,2014077,02/06/2024,0,excellent working condition,1,Machinery and Equipment,ICT Equipment,,,,,,,,,,,,,,,,,
